snapshot_utc,game_id,week,gameday,gametime,kickoff_utc,home_team,away_team,stadium,roof,forecast_source,forecast_error,temperature_f,wind_mph,gust_mph,precip_probability,precip_inches,weather_severity,pass_weather_adjustment,run_weather_adjustment,kick_weather_adjustment,weather_notes
2026-09-19T16:10:52+00:00,2026_02_DET_BUF,2,2026-09-17,20:15,2026-09-18T00:15:00+00:00,BUF,DET,Highmark Stadium,outdoors,Open-Meteo game-time forecast,,67.8,5.7,7.4,2.0,0.0,LOW,0.0,0.0,0.0,no material weather signal
2026-09-19T16:10:52+00:00,2026_02_CAR_ATL,2,2026-09-20,13:00,2026-09-20T17:00:00+00:00,ATL,CAR,Mercedes-Benz Stadium,,Open-Meteo game-time forecast,,90.8,2.7,5.8,6.0,0.0,LOW,0.0,0.0,0.0,no material weather signal
2026-09-19T16:10:52+00:00,2026_02_NO_BAL,2,2026-09-20,13:00,2026-09-20T17:00:00+00:00,BAL,NO,M&T Bank Stadium,outdoors,Open-Meteo game-time forecast,,79.4,10.6,17.2,11.0,0.0,LOW,0.0,0.0,0.0,no material weather signal
2026-09-19T16:10:52+00:00,2026_02_MIN_CHI,2,2026-09-20,13:00,2026-09-20T17:00:00+00:00,CHI,MIN,Soldier Field,outdoors,Open-Meteo game-time forecast,,65.7,13.2,22.8,35.0,0.0,LOW,0.0,0.0,0.0,no material weather signal
2026-09-19T16:10:52+00:00,2026_02_CIN_HOU,2,2026-09-20,13:00,2026-09-20T17:00:00+00:00,HOU,CIN,Reliant Stadium,,Open-Meteo game-time forecast,,92.2,0.7,3.4,2.0,0.0,LOW,0.0,0.0,0.0,no material weather signal
2026-09-19T16:10:52+00:00,2026_02_PIT_NE,2,2026-09-20,13:00,2026-09-20T17:00:00+00:00,NE,PIT,Gillette Stadium,outdoors,Open-Meteo game-time forecast,,59.0,5.5,14.1,44.0,0.043,LOW,0.0,0.0,0.0,no material weather signal
2026-09-19T16:10:52+00:00,2026_02_GB_NYJ,2,2026-09-20,13:00,2026-09-20T17:00:00+00:00,NYJ,GB,MetLife Stadium,outdoors,Open-Meteo game-time forecast,,68.6,9.6,22.8,41.0,0.0,LOW,0.0,0.0,0.0,no material weather signal
2026-09-19T16:10:52+00:00,2026_02_CLE_TB,2,2026-09-20,13:00,2026-09-20T17:00:00+00:00,TB,CLE,Raymond James Stadium,outdoors,Open-Meteo game-time forecast,,86.1,4.0,5.1,4.0,0.0,LOW,0.0,0.0,0.0,no material weather signal
2026-09-19T16:10:52+00:00,2026_02_PHI_TEN,2,2026-09-20,13:00,2026-09-20T17:00:00+00:00,TEN,PHI,Nissan Stadium,outdoors,Open-Meteo game-time forecast,,97.5,7.5,14.8,2.0,0.0,LOW,-0.1,-0.1,0.0,98F heat
2026-09-19T16:10:52+00:00,2026_02_JAX_DEN,2,2026-09-20,16:05,2026-09-20T20:05:00+00:00,DEN,JAX,Empower Field at Mile High,outdoors,Open-Meteo game-time forecast,,72.8,7.8,9.6,3.0,0.0,LOW,0.0,0.0,0.0,no material weather signal
2026-09-19T16:10:52+00:00,2026_02_LV_LAC,2,2026-09-20,16:05,2026-09-20T20:05:00+00:00,LAC,LV,SoFi Stadium,dome,indoor/no weather adjustment,,,,,,,INDOOR,0.0,0.0,0.0,indoor
2026-09-19T16:10:52+00:00,2026_02_SEA_ARI,2,2026-09-20,16:25,2026-09-20T20:25:00+00:00,ARI,SEA,State Farm Stadium,,Open-Meteo game-time forecast,,98.7,5.5,8.9,0.0,0.0,LOW,-0.1,-0.1,0.0,99F heat
2026-09-19T16:10:52+00:00,2026_02_WAS_DAL,2,2026-09-20,16:25,2026-09-20T20:25:00+00:00,DAL,WAS,AT&T Stadium,,schedule fallback,<urlopen error _ssl.c:993: The handshake operation timed out>,,,,,,LOW,0.0,0.0,0.0,no material weather signal
2026-09-19T16:10:52+00:00,2026_02_MIA_SF,2,2026-09-20,16:25,2026-09-20T20:25:00+00:00,SF,MIA,Levi's Stadium,outdoors,Open-Meteo game-time forecast,,66.6,7.8,9.2,0.0,0.0,LOW,0.0,0.0,0.0,no material weather signal
2026-09-19T16:10:52+00:00,2026_02_IND_KC,2,2026-09-20,20:20,2026-09-21T00:20:00+00:00,KC,IND,GEHA Field at Arrowhead Stadium,outdoors,Open-Meteo game-time forecast,,73.6,10.6,15.2,11.0,0.0,LOW,0.0,0.0,0.0,no material weather signal
2026-09-19T16:10:52+00:00,2026_02_NYG_LA,2,2026-09-21,20:15,2026-09-22T00:15:00+00:00,LAR,NYG,SoFi Stadium,dome,indoor/no weather adjustment,,,,,,,INDOOR,0.0,0.0,0.0,indoor
